policy,check_name,passed,lhs,sense,rhs,violation,tolerance
A0 alpha=0.1,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=0.1,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=0.5,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=0.5,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=1,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=1,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=10,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=10,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=2,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=2,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=5,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=5,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
Always best quality,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
Always best quality,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
Always cheapest,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
Always cheapest,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=1 B=0.000420126,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=1 B=0.000420126,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=1 B=0.000420126,pool_size,True,1.0,<=,1.0,0.0,1e-07
A1 K=1 B=0.000420126,budget,True,0.0,<=,0.00042012553854166664,0.0,1e-07
A1 K=1 B=0.000840251,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=1 B=0.000840251,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=1 B=0.000840251,pool_size,True,1.0,<=,1.0,0.0,1e-07
A1 K=1 B=0.000840251,budget,True,0.0,<=,0.0008402510770833333,0.0,1e-07
